Layer,CLS Linear Regression,Mean Embedding Linear Regression
0,0.1113875076563039,0.15658577997567424
1,0.13729492358089912,0.1753474165380462
2,0.1544137052753386,0.18692978054893927
3,0.15420850398934172,0.19258745713064707
4,0.17318429988254536,0.20415587799381008
5,0.1731500538416486,0.20125608366276315
6,0.18411983400451348,0.20713913061726175
7,0.17888281181916466,0.2133483979594819
8,0.20247022136258452,0.223118323428799
9,0.19529318645917604,0.2184965360051515
10,0.1948648549609332,0.21761503635520918
11,0.21121855395764533,0.22650209712240632
12,0.2003546876032649,0.215370314342352
13,0.20986565114314826,0.21811309449511873
14,0.2047488522719335,0.21420812713529003
15,0.20494246599118415,0.21313877007071524
16,0.19379882718868102,0.20545674939424985
17,0.20185395176758691,0.2144719471573615
18,0.2074716951059028,0.20768623965946764
19,0.2004753680180642,0.1983078690425073
20,0.21224092489177349,0.21014238272036034
21,0.20231359512973712,0.2032150553641967
22,0.20017136286117176,0.1977284587797239
23,0.19434662686536264,0.19485751402367968
24,0.20288977526284435,0.20407631023142248
25,0.19115051352031864,0.18961706559143432
26,0.19725000465688403,0.1831243670672691
27,0.19826345645714882,0.19117891020109024
28,0.19476531439091282,0.19714529281390514
29,0.2015626552010732,0.19313102503835333
30,0.19779969774973027,0.19827290691141886
31,0.18723294918394906,0.17786687543244561
