,loss,val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/activation,config/batch_size,config/conv1_filter,config/conv1_kernel,config/conv2_filter,config/conv2_kernel,config/dense,config/dense2,config/dropout1,config/dropout2,config/input_shape,config/l_rate,config/pool1_size,config/pool2_size,config/reduce_dim,logdir
12,0.4454279839992523,0.8288566470146179,36.18273425102234,False,12,15cc5929,2023-05-01_15-56-42,1682971002,437.68589425086975,321541,galaxy1,143.48.63.1,437.68589425086975,12,exponential,256,175,5,305,4,152,85,0.1,0.4,"[41, 2560]",0.005,5,3,64,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_15cc5929_13_activation=exponential,batch_size=256,conv1_filter=175,conv1_kernel=5,conv2_filter=305,conv2_k_2023-05-01_15-49-24"
13,0.2527858316898346,7.750999927520752,36.09138560295105,True,20,4d2e66d6,2023-05-01_16-08-52,1682971732,730.1005175113678,321541,galaxy1,143.48.63.1,730.1005175113678,20,exponential,256,242,6,238,5,109,67,0.1,0.4,"[41, 2560]",0.005,3,4,64,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_4d2e66d6_14_activation=exponential,batch_size=256,conv1_filter=242,conv1_kernel=6,conv2_filter=238,conv2_k_2023-05-01_15-56-42"
14,0.6269926428794861,0.6374989748001099,36.0849130153656,True,20,e965ad2b,2023-05-01_16-21-00,1682972460,727.7971506118774,321541,galaxy1,143.48.63.1,727.7971506118774,20,exponential,256,253,5,221,3,226,69,0.1,0.3,"[41, 2560]",0.001,3,5,64,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_e965ad2b_15_activation=exponential,batch_size=256,conv1_filter=253,conv1_kernel=5,conv2_filter=221,conv2_k_2023-05-01_16-08-52"
15,0.6273189187049866,0.6331127882003784,37.10695743560791,False,13,dc9e6232,2023-05-01_16-28-57,1682972937,477.2231416702271,321541,galaxy1,143.48.63.1,477.2231416702271,13,exponential,256,162,4,303,4,151,99,0.1,0.5,"[41, 2560]",0.001,4,2,64,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_dc9e6232_16_activation=exponential,batch_size=256,conv1_filter=162,conv1_kernel=4,conv2_filter=303,conv2_k_2023-05-01_16-21-00"
16,0.3695613741874695,2.152415037155152,37.1397750377655,True,20,4775d100,2023-05-01_16-41-11,1682973671,733.5495319366455,321541,galaxy1,143.48.63.1,733.5495319366455,20,exponential,256,208,4,234,5,131,110,0.1,0.2,"[41, 2560]",0.005,4,4,32,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_4775d100_17_activation=exponential,batch_size=256,conv1_filter=208,conv1_kernel=4,conv2_filter=234,conv2_k_2023-05-01_16-28-57"
17,0.1625691205263137,0.5717892646789551,36.88432240486145,False,26,c43bbe44,2023-05-01_16-57-14,1682974634,963.526550769806,321541,galaxy1,143.48.63.1,963.526550769806,26,exponential,256,180,6,212,3,94,104,0.1,0.1,"[41, 2560]",0.001,3,3,64,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_c43bbe44_18_activation=exponential,batch_size=256,conv1_filter=180,conv1_kernel=6,conv2_filter=212,conv2_k_2023-05-01_16-41-11"
18,0.2947108447551727,0.544219434261322,36.3607063293457,False,28,cf27d7a3,2023-05-01_17-14-27,1682975667,1033.305880069733,321541,galaxy1,143.48.63.1,1033.305880069733,28,exponential,256,234,5,255,4,226,121,0.1,0.3,"[41, 2560]",0.001,2,3,64,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_cf27d7a3_19_activation=exponential,batch_size=256,conv1_filter=234,conv1_kernel=5,conv2_filter=255,conv2_k_2023-05-01_16-57-14"
19,0.3902507722377777,0.5428833365440369,36.62377405166626,False,25,8c46db7e,2023-05-01_17-29-47,1682976587,919.7942321300508,321541,galaxy1,143.48.63.1,919.7942321300508,25,exponential,256,178,5,278,5,214,97,0.1,0.4,"[41, 2560]",0.005,4,6,32,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_8c46db7e_20_activation=exponential,batch_size=256,conv1_filter=178,conv1_kernel=5,conv2_filter=278,conv2_k_2023-05-01_17-14-27"
20,0.4880656599998474,0.9413607716560364,36.56477403640747,False,14,51c0c3b0,2023-05-01_17-38-24,1682977104,516.3877968788147,321541,galaxy1,143.48.63.1,516.3877968788147,14,exponential,256,224,5,195,3,193,109,0.1,0.3,"[41, 2560]",0.005,4,6,32,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_51c0c3b0_21_activation=exponential,batch_size=256,conv1_filter=224,conv1_kernel=5,conv2_filter=195,conv2_k_2023-05-01_17-29-47"
21,0.4652213156223297,0.5102189779281616,36.42783069610596,False,31,346e57c0,2023-05-01_17-57-21,1682978241,1137.647358894348,321541,galaxy1,143.48.63.1,1137.647358894348,31,exponential,256,217,5,291,4,252,78,0.1,0.2,"[41, 2560]",0.005,4,6,32,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_346e57c0_22_activation=exponential,batch_size=256,conv1_filter=217,conv1_kernel=5,conv2_filter=291,conv2_k_2023-05-01_17-38-24"
22,0.4306239187717438,10.254340171813965,36.429651737213135,False,12,c2b56912,2023-05-01_18-04-47,1682978687,446.202047586441,321541,galaxy1,143.48.63.1,446.202047586441,12,exponential,256,231,6,285,3,179,114,0.1,0.1,"[41, 2560]",0.005,2,6,32,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_c2b56912_23_activation=exponential,batch_size=256,conv1_filter=231,conv1_kernel=6,conv2_filter=285,conv2_k_2023-05-01_17-57-21"
23,0.4197349846363067,2.041741132736206,36.49482107162476,False,14,f1a50d71,2023-05-01_18-13-23,1682979203,515.6629872322083,321541,galaxy1,143.48.63.1,515.6629872322083,14,exponential,256,212,5,245,4,248,73,0.1,0.2,"[41, 2560]",0.005,4,7,32,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_f1a50d71_24_activation=exponential,batch_size=256,conv1_filter=212,conv1_kernel=5,conv2_filter=245,conv2_k_2023-05-01_18-04-47"
24,0.6269043684005737,0.6330745220184326,36.35985517501831,True,20,641f4116,2023-05-01_18-25-41,1682979941,737.4210724830627,321541,galaxy1,143.48.63.1,737.4210724830627,20,exponential,256,200,4,202,4,242,79,0.1,0.2,"[41, 2560]",0.005,3,6,32,"/home/ztang/ray_results/lentiMPRA_rep_training/representation_training_641f4116_25_activation=exponential,batch_size=256,conv1_filter=200,conv1_kernel=4,conv2_filter=202,conv2_k_2023-05-01_18-13-23"
