,TF,Accuracy,AUROC,AUPR,Model
0,SF3B4,0.9127907156944275,0.9700196385383606,0.9682332873344421,NT 10 CNN
1,SF3B4,0.9175336360931396,0.9735745191574097,0.9719452857971191,NT 10 CNN
2,SF3B4,0.9104956984519958,0.9715849161148071,0.9693464040756226,NT 10 CNN
3,SF3B4,0.9213586449623108,0.9749096632003784,0.9724718928337097,NT 10 CNN
4,SF3B4,0.9085067510604858,0.9734501838684082,0.9696341753005981,NT 10 CNN
5,U2AF1,0.793154776096344,0.8608689308166504,0.8382044434547424,NT 10 CNN
6,U2AF1,0.8839285969734192,0.9400088787078857,0.9308993816375732,NT 10 CNN
7,U2AF1,0.8764880895614624,0.929297149181366,0.9230520725250244,NT 10 CNN
8,U2AF1,0.8735119104385376,0.9439236521720886,0.9453467130661011,NT 10 CNN
9,U2AF1,0.886904776096344,0.9440389275550842,0.9431062936782837,NT 10 CNN
10,SRSF1,0.8990825414657593,0.9580949544906616,0.9506245851516724,NT 10 CNN
11,SRSF1,0.9024186730384827,0.9536561369895935,0.9401887655258179,NT 10 CNN
12,SRSF1,0.9040867686271667,0.93973708152771,0.9129136204719543,NT 10 CNN
13,SRSF1,0.89741450548172,0.9442635178565979,0.9259977340698242,NT 10 CNN
14,SRSF1,0.9082568883895874,0.9561821222305298,0.9483728408813477,NT 10 CNN
15,QKI,0.9437134265899658,0.9731498956680298,0.9716731905937195,NT 10 CNN
16,QKI,0.932748556137085,0.9707334041595459,0.962634801864624,NT 10 CNN
17,QKI,0.9276315569877625,0.972044825553894,0.9696989059448242,NT 10 CNN
18,QKI,0.9152047038078308,0.9742283225059509,0.9734160900115967,NT 10 CNN
19,QKI,0.9349415302276611,0.9721560478210449,0.9684373140335083,NT 10 CNN
20,RBFOX2,0.8752784132957458,0.944947361946106,0.9373865723609924,NT 10 CNN
21,RBFOX2,0.8752784132957458,0.9395462870597839,0.9300292730331421,NT 10 CNN
22,RBFOX2,0.8769487738609314,0.9474893808364868,0.9417275190353394,NT 10 CNN
23,RBFOX2,0.8869710564613342,0.943522572517395,0.9308258891105652,NT 10 CNN
24,RBFOX2,0.8891982436180115,0.9469308257102966,0.9418107271194458,NT 10 CNN
25,PTBP1,0.9440840482711792,0.9759925007820129,0.9773767590522766,NT 10 CNN
26,PTBP1,0.9369786977767944,0.9822611212730408,0.9809466600418091,NT 10 CNN
27,PTBP1,0.9348161816596985,0.9797534346580505,0.9801512360572815,NT 10 CNN
28,PTBP1,0.9252394437789917,0.9823065996170044,0.9791300296783447,NT 10 CNN
29,PTBP1,0.9413036704063416,0.9797884821891785,0.9818592071533203,NT 10 CNN
30,HNRNPK,0.9485166072845459,0.9777793288230896,0.9720158576965332,NT 10 CNN
31,HNRNPK,0.9563699960708618,0.9743085503578186,0.9649519324302673,NT 10 CNN
32,HNRNPK,0.9572426080703735,0.9787356853485107,0.9749108552932739,NT 10 CNN
33,HNRNPK,0.9528796076774597,0.98349928855896,0.9763200283050537,NT 10 CNN
34,HNRNPK,0.9546247720718384,0.980774998664856,0.9753040671348572,NT 10 CNN
35,TIA1,0.8574191927909851,0.9321465492248535,0.921615481376648,NT 10 CNN
36,TIA1,0.8535507321357727,0.9283044338226318,0.9145843982696533,NT 10 CNN
37,TIA1,0.8582481145858765,0.9341982007026672,0.93121337890625,NT 10 CNN
38,TIA1,0.8529980778694153,0.931410014629364,0.925153911113739,NT 10 CNN
39,TIA1,0.8560375571250916,0.9303844571113586,0.9180706739425659,NT 10 CNN
40,TARDBP,0.9694467186927795,0.9882518649101257,0.9864349365234375,NT 10 CNN
41,TARDBP,0.9628406167030334,0.9908158183097839,0.9891801476478577,NT 10 CNN
42,TARDBP,0.9558216333389282,0.9870032072067261,0.9822108745574951,NT 10 CNN
43,TARDBP,0.9640792608261108,0.9891149997711182,0.9875916242599487,NT 10 CNN
44,TARDBP,0.9673823118209839,0.9870752692222595,0.9840384721755981,NT 10 CNN
45,PUM2,0.8617241382598877,0.9300697445869446,0.9087483882904053,NT 10 CNN
46,PUM2,0.8586207032203674,0.939542293548584,0.930702805519104,NT 10 CNN
47,PUM2,0.8489655256271362,0.9325550198554993,0.9267023205757141,NT 10 CNN
48,PUM2,0.8551723957061768,0.9330989718437195,0.9220978021621704,NT 10 CNN
49,PUM2,0.8441379070281982,0.9338675737380981,0.9288331270217896,NT 10 CNN
