,TF,Accuracy,AUROC,AUPR,Model
0,SF3B4,0.860771119594574,0.938238799571991,0.9325653314590454,NT32CLS MLP
1,SF3B4,0.8583231568336487,0.9348032474517822,0.9258410930633545,NT32Mean embed MLP
2,SF3B4,0.8656670451164246,0.9416629076004028,0.9361151456832886,NT32CLS MLP
3,SF3B4,0.8728579878807068,0.9464188814163208,0.940471887588501,NT32Mean embed MLP
4,SF3B4,0.8549571633338928,0.935566246509552,0.9271789193153381,NT32CLS MLP
5,SF3B4,0.8627601265907288,0.9430145025253296,0.9341717958450317,NT32Mean embed MLP
6,SF3B4,0.8626071214675903,0.9382478594779968,0.9313333034515381,NT32CLS MLP
7,SF3B4,0.8774479627609253,0.9484879970550537,0.9401882886886597,NT32Mean embed MLP
8,SF3B4,0.8636780977249146,0.9392349123954773,0.9333062171936035,NT32CLS MLP
9,SF3B4,0.8506731986999512,0.9302526712417603,0.9192408323287964,NT32Mean embed MLP
10,U2AF1,0.7767857313156128,0.8623853325843811,0.8492918014526367,NT32CLS MLP
11,U2AF1,0.4761904776096344,0.48467302322387695,0.47725117206573486,NT32Mean embed MLP
12,U2AF1,0.7782738208770752,0.8689292669296265,0.8611760139465332,NT32CLS MLP
13,U2AF1,0.5833333134651184,0.8716294169425964,0.879601001739502,NT32Mean embed MLP
14,U2AF1,0.7752976417541504,0.8729017972946167,0.8859772682189941,NT32CLS MLP
15,U2AF1,0.7946428656578064,0.8717578649520874,0.867828369140625,NT32Mean embed MLP
16,U2AF1,0.6339285969734192,0.8688849806785583,0.8626283407211304,NT32CLS MLP
17,U2AF1,0.805059552192688,0.9114741683006287,0.9159934520721436,NT32Mean embed MLP
18,U2AF1,0.7782738208770752,0.8587098717689514,0.8620167970657349,NT32CLS MLP
19,U2AF1,0.7514880895614624,0.90297931432724,0.9056808948516846,NT32Mean embed MLP
20,SRSF1,0.8448707461357117,0.9325928092002869,0.9242618083953857,NT32CLS MLP
21,SRSF1,0.8732277154922485,0.9485377073287964,0.9437236785888672,NT32Mean embed MLP
22,SRSF1,0.8073394298553467,0.9223029613494873,0.8984998464584351,NT32CLS MLP
23,SRSF1,0.8623853325843811,0.9396604895591736,0.9333740472793579,NT32Mean embed MLP
24,SRSF1,0.8407005667686462,0.9196029901504517,0.9026332497596741,NT32CLS MLP
25,SRSF1,0.8824020028114319,0.9497330784797668,0.9446543455123901,NT32Mean embed MLP
26,SRSF1,0.8665554523468018,0.9309907555580139,0.9169070720672607,NT32CLS MLP
27,SRSF1,0.8673895001411438,0.9476001262664795,0.9420380592346191,NT32Mean embed MLP
28,SRSF1,0.8290241956710815,0.9019669890403748,0.8907685279846191,NT32CLS MLP
29,SRSF1,0.8557130694389343,0.9388803243637085,0.9294705986976624,NT32Mean embed MLP
30,QKI,0.8611111044883728,0.9366658329963684,0.9367206692695618,NT32CLS MLP
31,QKI,0.8742690086364746,0.9481317400932312,0.9484454393386841,NT32Mean embed MLP
32,QKI,0.49561402201652527,0.8484716415405273,0.8737495541572571,NT32CLS MLP
33,QKI,0.8874269127845764,0.9477030634880066,0.9418157339096069,NT32Mean embed MLP
34,QKI,0.5394737124443054,0.9146926403045654,0.9178438186645508,NT32CLS MLP
35,QKI,0.8735380172729492,0.9505034685134888,0.9501062631607056,NT32Mean embed MLP
36,QKI,0.8823099136352539,0.9462634921073914,0.9483984708786011,NT32CLS MLP
37,QKI,0.8676900863647461,0.9416570067405701,0.9428871870040894,NT32Mean embed MLP
38,QKI,0.8691520690917969,0.9421753883361816,0.9403979778289795,NT32CLS MLP
39,QKI,0.8764619827270508,0.941072404384613,0.9391229152679443,NT32Mean embed MLP
40,RBFOX2,0.7572383284568787,0.89996337890625,0.9090288877487183,NT32CLS MLP
41,RBFOX2,0.852449893951416,0.9323722124099731,0.929267406463623,NT32Mean embed MLP
42,RBFOX2,0.8546770811080933,0.9289050102233887,0.9305365085601807,NT32CLS MLP
