,TF,Accuracy,AUROC,AUPR,Model
0,MAX,0.766566276550293,0.8371056914329529,0.824725866317749,NT32CLS MLP
1,MAX,0.7827218174934387,0.8489692807197571,0.8367527723312378,NT32Mean embed MLP
2,MAX,0.7821741700172424,0.8421692848205566,0.825982928276062,NT32CLS MLP
3,MAX,0.6957831382751465,0.825663685798645,0.824813961982727,NT32Mean embed MLP
4,MAX,0.6789430379867554,0.8108983635902405,0.8083326816558838,NT32CLS MLP
5,MAX,0.7819003462791443,0.8497143983840942,0.8390552997589111,NT32Mean embed MLP
6,MAX,0.7245345115661621,0.8373554944992065,0.8219786286354065,NT32CLS MLP
7,MAX,0.7829956412315369,0.8495336174964905,0.8382375240325928,NT32Mean embed MLP
8,MAX,0.7821741700172424,0.8455520272254944,0.8332766890525818,NT32CLS MLP
9,MAX,0.7745071053504944,0.8491460084915161,0.8374122381210327,NT32Mean embed MLP
10,SRF,0.6264324188232422,0.6784489154815674,0.6871878504753113,NT32CLS MLP
11,SRF,0.6712503433227539,0.7386217713356018,0.7490988373756409,NT32Mean embed MLP
12,SRF,0.6758339405059814,0.7436144351959229,0.7569665312767029,NT32CLS MLP
13,SRF,0.6748153567314148,0.7422917485237122,0.7561411261558533,NT32Mean embed MLP
14,SRF,0.6702316999435425,0.7399448752403259,0.7539082765579224,NT32CLS MLP
15,SRF,0.6825821399688721,0.74945467710495,0.7632502317428589,NT32Mean embed MLP
16,SRF,0.6711229681968689,0.7420733571052551,0.7571569085121155,NT32CLS MLP
17,SRF,0.680672287940979,0.7535061240196228,0.7654269337654114,NT32Mean embed MLP
18,SRF,0.6419658660888672,0.7054510712623596,0.7230129241943359,NT32CLS MLP
19,SRF,0.6811815500259399,0.749927282333374,0.7668670415878296,NT32Mean embed MLP
20,ATF2,0.8194983005523682,0.9056383967399597,0.916801929473877,NT32CLS MLP
21,ATF2,0.8197569251060486,0.9185425639152527,0.9248603582382202,NT32Mean embed MLP
22,ATF2,0.8315231204032898,0.9141826033592224,0.923439085483551,NT32CLS MLP
23,ATF2,0.833462655544281,0.9209075570106506,0.9296318292617798,NT32Mean embed MLP
24,ATF2,0.6585208177566528,0.7866089940071106,0.7981183528900146,NT32CLS MLP
25,ATF2,0.8352728486061096,0.921659529209137,0.9302125573158264,NT32Mean embed MLP
26,ATF2,0.8227307796478271,0.9077925086021423,0.91751629114151,NT32CLS MLP
27,ATF2,0.8414791822433472,0.9247058629989624,0.932024359703064,NT32Mean embed MLP
28,ATF2,0.8160072565078735,0.8937084078788757,0.9030272960662842,NT32CLS MLP
29,ATF2,0.8056632876396179,0.9098116755485535,0.9208328723907471,NT32Mean embed MLP
30,ELK1,0.7727428674697876,0.8376570343971252,0.8287975192070007,NT32CLS MLP
31,ELK1,0.77583247423172,0.8392755389213562,0.8450626730918884,NT32Mean embed MLP
32,ELK1,0.7665636539459229,0.8297831416130066,0.8288025856018066,NT32CLS MLP
33,ELK1,0.7789220809936523,0.8426293730735779,0.8436329960823059,NT32Mean embed MLP
34,ELK1,0.7555784583091736,0.826183557510376,0.8367727994918823,NT32CLS MLP
35,ELK1,0.7737727165222168,0.8393920063972473,0.8394080400466919,NT32Mean embed MLP
36,ELK1,0.7658771276473999,0.8345651030540466,0.8261759877204895,NT32CLS MLP
37,ELK1,0.7672502398490906,0.8358445167541504,0.8331243991851807,NT32Mean embed MLP
38,ELK1,0.7696532607078552,0.820004940032959,0.8067940473556519,NT32CLS MLP
39,ELK1,0.7761757373809814,0.8380630016326904,0.8375363349914551,NT32Mean embed MLP
40,REST,0.6089644432067871,0.6800399422645569,0.6407108306884766,NT32CLS MLP
